"Group","SampleID","Easting.planned","Northing.planned","Easting.GPS","Northing.GPS","EC","pH","ICPOES_Vial_no","Group_no","Sample_no","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
1,"LCS23_001",384403,6462072,384403,6462072,479,8.39,3,1,1,3645,7,25,26186,0.08,4,0.4,8,7,3306,-1,0,282,3,3,1572,28,0,451,0,2,229,23,1,409,0,137,2,109,6,1,68
1,"LCS23_002",384398,6462085,384395,6462087,73.8,7.39,13,1,2,4867,2,26,8846,0.14,6,0.7,9,22,3374,0,0,358,4,3,821,32,1,216,1,3,530,18,2,1194,0,47,2,73,6,1,135
1,"LCS23_003",384392,6462096,384394,6462098,52.3,7.77,23,1,3,4204,2,21,21425,0.23,5,0.8,9,8,4060,0,0,280,3,3,802,39,0,158,0,1,453,37,1,558,0,97,1,77,8,1,139
1,"LCS23_004",384386,6462110,384386,6462110,55.4,7.32,33,1,4,3484,2,15,12883,0.15,4,0.4,7,6,3486,0,0,114,2,2,453,26,0,96,1,1,279,28,1,358,0,77,1,71,7,1,105
1,"LCS23_005",384376,6462134,384378,6462134,77.6,7.62,43,1,5,1773,2,11,19495,0.11,3,0.6,6,4,1918,-3,0,216,2,3,896,40,0,174,0,1,270,13,1,402,0,108,1,111,3,1,140
2,"LCS23_006",384370,6462027,384370,6462029,589,8.86,2,2,6,2506,5,29,24687,0.13,6,0.3,8,28,3156,1,0,366,4,2,1470,36,0,903,1,24,364,26,1,633,0,125,1,45,5,1,142
2,"LCS23_007",384363,6462037,384363,6462034,46.8,7.35,12,2,7,3925,3,30,8976,0.14,5,0.6,10,12,4899,1,0,300,3,3,606,42,0,200,1,2,594,27,2,1038,0,35,1,47,7,1,134
2,"LCS23_008",384354,6462048,384354,6462048,42.8,9.15,22,2,8,3090,2,8,11889,0.04,5,0.4,6,6,2076,-2,0,197,2,4,640,16,0,166,1,2,153,11,2,157,0,69,1,108,4,1,31
2,"LCS23_009",384337,6462071,384337,6462071,67.9,8.47,32,2,9,1339,1,8,13475,0.07,2,0.2,4,2,1255,0,0,75,1,2,525,18,0,92,0,0,168,5,0,178,0,76,1,31,2,1,27
2,"LCS23_010",384313,6462102,384313,6462102,50.1,6.59,42,2,10,1789,1,8,1182,0.08,5,0.4,5,4,1727,-1,0,105,2,2,114,20,0,46,2,1,120,19,1,114,0,7,1,68,3,1,33
3,"LCS23_011",384612,6462132,384612,6462132,224.7,8.8,5,3,1,4466,36,36,52175,0.14,5,0.6,12,7,10804,3,0,301,4,3,1162,165,2,247,0,1,337,31,1,1081,0,137,1,86,8,2,118
3,"LCS23_012",384607,6462126,384607,6462126,222.8,8.3,15,3,2,4974,44,45,65196,0.14,5,0.8,13,6,12813,4,0,415,4,3,1511,204,2,237,0,1,339,30,2,1069,0,181,2,82,10,2,137
3,"LCS23_013",384608,6462115,384608,6462115,45.7,8.8,25,3,3,4187,11,14,19119,0.05,5,0.5,10,5,4924,-1,0,161,3,3,480,57,0,99,0,1,129,17,1,222,0,51,1,126,8,1,40
3,"LCS23_014",384612,6462101,384612,6462101,50.4,9.25,35,3,4,5788,23,25,33942,0.1,7,0.7,13,8,8215,-1,0,224,4,3,790,99,1,143,1,2,165,26,1,389,1,88,2,164,12,2,63
3,"LCS23_015",384608,6462093,384608,6462093,435,8.58,45,3,5,2870,31,42,61092,0.18,3,0.9,13,7,11077,4,0,290,3,2,1308,156,1,420,0,1,240,28,0,941,0,172,1,53,6,2,278
4,"LCS23_016",384614,6461764,384523,6461770,4.08,7.22,1,4,16,1913,2,9,21422,0.06,2,0.4,5,4,1502,0,0,191,2,2,897,17,0,175,-1,1,202,14,1,328,0,131,1,33,3,1,40
4,"LCS23_017",384588,6461757,384527,6461767,4.47,7.65,11,4,27,23938,3,37,8482,0.21,52,13.9,20,16,27179,9,5,936,28,12,1036,195,1,509,22,9,417,26,20,428,5,37,13,309,55,20,768
4,"LCS23_018",384564,6461750,384527,6461764,4.78,7.55,21,4,18,27648,4,36,16002,0.17,50,13.5,26,17,30113,13,3,777,16,12,948,124,1,312,13,10,306,26,11,401,6,68,10,299,63,13,82
4,"LCS23_019",384548,6461745,384551,6461739,3.95,7.96,31,4,19,2004,1,8,3852,0.04,3,0.3,5,48,1483,-1,0,65,2,1,159,10,0,30,0,0,75,12,0,70,0,14,0,41,3,1,20
4,"LCS23_020",384534,6461740,384551,6461731,4.42,7.43,41,4,20,2387,6,9,21605,0.08,3,0.5,7,7,2979,1,0,211,2,3,590,10,0,600,0,1,1036,20,1,892,0,65,1,39,5,1,33
5,"LCS23_022",384299,6461927,384299,6461927,1.186,8.25,44,5,22,1095,10,24,42799,0.02,1,0.6,2,4,1922,0,0,329,2,1,2120,29,0,1302,-1,1,239,10,0,1283,0,199,1,20,4,0,83
5,"LCS23_023",384292,6461918,384292,6461918,0.361,9.03,34,5,23,1841,13,30,46197,0.02,2,0.6,3,4,1775,0,0,430,2,2,2648,43,0,1420,-1,1,327,10,1,1869,0,217,1,31,3,1,23
5,"LCS23_024",384285,6461909,384285,6461909,1.169,8.12,24,5,24,1634,12,19,49860,0.03,3,0.5,7,3,1623,-1,0,354,3,2,2290,24,0,1215,0,1,217,8,0,1358,0,211,1,50,3,2,20
5,"LCS23_025",384277,6461898,384277,6461898,0.924,8.22,14,5,25,1043,9,24,46339,0.01,1,0.1,2,18,1398,0,0,249,2,1,1892,26,0,897,-2,0,167,6,0,1086,0,215,1,16,2,0,16
6,"LCS23_026",384615,6462327,384615,6462327,23.34,8.1,10,6,26,4489,3,11,2956,0.12,6,0.9,9,5,3259,-1,0,191,3,3,243,22,0,67,2,2,186,19,1,186,0,13,1,83,7,1,55
6,"LCS23_027",384619,6462296,384619,6462296,22.79,7.73,20,6,27,1814,2,7,3120,0.03,4,0.2,5,2,1272,-2,0,209,2,2,181,15,0,71,1,1,113,3,1,181,0,14,1,78,3,1,13
6,"LCS23_028",384623,6462266,384623,6462266,58.2,7.94,30,6,28,2863,2,12,13455,0.11,6,0.4,6,6,1937,-3,0,201,4,2,570,21,0,100,1,1,220,22,1,346,0,72,1,110,4,1,72
6,"LCS23_029",384626,6462237,384626,6462237,45.1,8.03,40,6,29,1217,1,8,16572,0.06,2,0.4,3,3,809,-1,0,173,2,1,592,13,0,132,0,1,179,6,1,214,0,86,1,46,2,1,23
6,"LCS23_030",384631,6462202,384631,6462202,63.8,7.31,50,6,30,2375,2,31,12247,0.36,4,0.6,7,16,3010,0,0,354,2,2,665,55,1,161,0,2,510,58,1,1080,0,43,1,40,5,1,345
7,"LCS23_031",384768,6461935,384760,6461935,63.4,7.89,49,7,31,2266,2,8,20776,0.03,4,0.3,8,2,1594,0,0,201,2,2,858,15,0,200,0,1,154,5,1,176,0,121,1,47,4,1,13
7,"LCS23_032",384734,6461935,384728,6461936,64.2,7.36,39,7,32,2146,1,8,16860,0.03,4,0.3,7,2,1270,-1,0,255,2,2,664,20,0,136,1,1,176,3,1,279,0,94,1,43,3,1,17
7,"LCS23_033",384700,6461935,384704,6461935,64.7,7.2,29,7,33,2842,2,10,15138,0.09,3,0.5,6,5,2415,0,0,279,2,2,684,26,0,134,0,2,320,13,1,431,0,73,1,51,5,1,53
7,"LCS23_034",384664,6461935,384678,6461939,48,7.31,19,7,34,2778,2,8,11783,0.07,4,0.5,7,5,2305,0,0,178,2,3,471,17,0,108,1,1,193,8,1,247,0,60,1,56,5,1,40
7,"LCS23_035",384630,6461935,384650,6461942,62.7,7.26,9,7,35,5748,4,16,11559,0.15,10,0.7,18,7,4043,0,0,369,4,6,487,36,0,139,2,3,374,14,3,510,1,44,2,100,9,2,72
8,"LCS23_036",384762,6461733,384762,6461733,NA,NA,8,8,51,3906,3,13,5568,0.18,6,0.5,13,7,3403,0,0,141,3,3,426,34,0,53,1,2,307,32,1,403,0,24,1,64,6,2,117
8,"LCS23_037",384730,6461741,384730,6461741,NA,NA,18,8,52,4847,3,14,7157,0.14,8,0.7,12,6,4058,-2,0,170,4,4,331,24,0,83,1,2,217,35,1,267,0,28,2,126,9,2,53
8,"LCS23_038",384700,6461749,384700,6461749,NA,NA,28,8,53,3964,3,7,9426,0.02,8,0.4,17,146,2639,-2,0,180,3,3,273,14,0,78,2,3,70,6,1,88,0,40,2,125,6,2,18
