"Group","SampleID","Easting.planned","Northing.planned","Easting.GPS","Northing.GPS","ICPOES_Vial_no","Group_no","Sample_no","EC","pH","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn","q0","Zone","Al.pow","Fe.pow","Cu.pow","As.pow"
"8","LCS23_040",384634,6461765,384634,6461765,48,8,55,53.4,8.36,2019,1,7,22526,0.05,3,0.3,6,3,1376,-1,0,155,2,3,896,13,0,186,0,1,125,7,1,189,0,149,1,61,3,1,22,"5-25%","7-10",-0.0696951068697533,-0.0386920468304981,-0.6659860551946,-1
"9","LCS23_041",384778,6462335,384778,6462335,6,9,41,83.3,7.48,5329,3,11,8141,0.1,6,0.6,12,12,4944,-1,0,188,3,3,350,22,0,80,1,2,177,52,1,188,1,26,2,126,16,2,66,"75-95%","7-10",-0.0496219695518903,-0.0217602906585846,-0.39875205933435,-0.634558696705275
"9","LCS23_042",384779,6462289,384779,6462289,16,9,42,83.3,7.8,4180,3,15,17751,0.16,6,0.9,9,7,3252,-3,0,354,4,5,758,53,0,152,1,2,274,43,3,401,0,80,2,191,7,2,101,"50-75%","7-10",-0.0540241946368301,-0.0262743667911303,-0.486758702963057,-0.634558696705275
"9","LCS23_043",384779,6462198,384779,6462198,26,9,43,47.2,8.14,4779,3,13,6701,0.05,6,0.6,13,3,4563,-1,0,212,3,3,263,19,0,80,1,1,185,14,1,171,0,24,1,116,11,1,35,"75-95%","7-10",-0.0515503999788684,-0.0225599061716875,-0.6659860551946,-0.634558696705275
"9","LCS23_044",384779,6462246,384779,6462246,36,9,44,69.5,8.33,4469,4,8,3094,0.02,10,0.4,18,2,2990,-2,0,211,4,3,198,17,0,69,3,1,106,5,1,126,1,10,2,107,7,2,15,"25-50%","7-10",-0.0527747732327003,-0.0272865083147644,-0.773782496771195,-0.56330961424864
"9","LCS23_045",384779,6462153,384779,6462153,46,9,45,54.5,8.37,4681,2,14,4658,0.09,6,0.8,8,6,3430,-7,0,358,3,5,333,30,0,119,1,2,131,30,4,156,0,24,2,257,10,1,49,"50-75%","7-10",-0.05192559427282,-0.0256517882339568,-0.515328352603276,-0.750539548757186
"10","LCS23_046",384894,6462188,384894,6462188,7,10,26,133.5,9.1,15442,6,16,31437,0.07,14,1.8,23,11,13308,-3,1,329,5,6,880,44,0,274,2,5,212,30,3,306,2,137,5,343,34,3,36,"95%-Max","7-10",-0.034194303192606,-0.0139363563781746,-0.411798448938887,-0.476261397885125
"10","LCS23_047",384851,6462188,384851,6462188,37,10,29,22.66,7.74,5055,3,11,2141,0.03,9,0.5,16,5,3027,-3,0,344,4,4,175,18,0,102,2,2,112,8,2,122,0,8,2,142,7,2,30,"25-50%","7-10",-0.0505472571053753,-0.0271359112739151,-0.551291248615218,-0.634558696705275
"10","LCS23_048",384807,6462188,384807,6462188,17,10,47,27.9,8.02,4768,3,16,5571,0.06,8,0.3,16,23,3437,-1,0,287,3,5,322,22,0,123,2,10,181,13,2,232,0,14,1,113,8,1,49,"50-75%","7-10",-0.0515919940263301,-0.0256282652671375,-0.313444533908578,-0.634558696705275
"10","LCS23_049",384767,6462188,384767,6462188,27,10,48,51.59,8.39,5992,6,22,6339,0.14,11,1.3,16,11,4801,-3,1,294,5,4,460,46,0,914,3,2,339,49,2,279,1,31,2,185,10,3,64,"75-95%","7-10",-0.0476266317421919,-0.022049600860033,-0.411798448938887,-0.476261397885125
"10","LCS23_050",384715,6462188,384715,6462188,47,10,50,39.09,7.12,4759,3,10,3669,0.03,8,0.3,13,3,2585,-2,0,424,3,4,268,12,0,137,2,1,96,7,2,116,0,22,1,107,6,1,24,"25-50%","7-10",-0.0516261219942463,-0.0291335061197016,-0.6659860551946,-0.634558696705275
