Group,SampleID,Easting.planned,Northing.planned,Easting.GPS,Northing.GPS,Zone,Zone2,EC,pH,PO4.P,Al,As,B,Ba,Ca,Co,Cr,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb ,Rb ,S,Sc,Se,Si,Sr,Zn
5,LCW23_023,384292,6461918,384292,6461918,distDrain,distDrain,3.03,8.23,0.09,0.01,0.1151,0.6761,0.0481,68.5,0.0029,0.00199,0.0215,101.5960255,0.00153378,0.002029556,110.8609318,0.004090576,0.001,788,0.0006,0.097,0.00163,0.190365533,76.8,0,0.02,3.69,0.789090147,0.031
5,LCW23_024,384285,6461909,384285,6461909,distDrain,distDrain,3.27,8.2,0.095,0.02,0.1188,0.6757,0.0489,68.9,NA,0.00222,0.0252,102.4126033,0.000916607,0.003689535,111.2522967,0.003900829,0.001,788,0.0017,0.097,0.00944,0.189264013,76.8,0,0.01,3.67,0.749398158,0.003
5,LCW23_025,384277,6461898,384277,6461898,distDrain,distDrain,3.3,8.2,0.091,0.01,0.1195,0.6835,0.0486,69.1,0.0005,0.00137,0.0292,101.3665562,0.002143129,0.003958483,111.8272764,0.003985798,0.001,794,0.0018,0.106,0.00389,0.189800301,77.7,0,0.01,3.68,0.781313853,NA
6,LCW23_026,384504,6461380,384502,6461380,nearDrain,nearDrain,4.6,7.62,0.053,0.02,0.1149,0.6758,0.0483,68.3,NA,0.00176,0.0282,102.7472268,0.001891303,0.002871999,110.8883174,0.006557487,0.001,779,0.0002,0.118,0,0.190721383,77.7,0,0.02,3.77,0.766610548,0.009
6,LCW23_027,384511,6461370,384511,6461373,nearDrain,nearDrain,4.62,7.64,0.043,0.03,0.1213,0.6763,0.0491,68.7,NA,0.00247,0.0322,102.5654788,0.001357346,0.002622186,111.5890607,0.005240881,0.001,775,NA,0.115,NA,0.189330106,77.6,0,0.02,3.74,0.766656834,NA
6,LCW23_028,384528,6461365,384529,6461367,nearDrain,nearDrain,4.61,7.56,0.043,0.04,0.1182,0.6638,0.0478,66.9,0.0030,0.00097,0.0280,101.731985,0.001290273,0.002807118,109.4323482,0.005221719,0.001,775,0.0011,0.105,0.00657,0.188701161,76,0,0.02,3.64,0.741661296,NA
6,LCW23_029,384552,6461362,384555,6461361,nearDrain,nearDrain,4.67,7.82,0.042,0.02,0.1158,0.6680,0.0478,67.5,NA,0.00188,0.0256,101.6927473,0.001014928,0.001860541,109.4836029,0.005643847,0.001,770,0.0009,0.108,0.00192,0.188437746,77,0,0.02,3.78,0.773372447,NA
6,LCW23_030,384573,6461367,384573,6461368,nearDrain,nearDrain,4.34,7.66,0.046,0.03,0.1159,0.6572,0.0474,67.4,0.0013,0.00187,0.0355,101.0292344,0.001784501,0.002686474,108.9225664,0.006320815,0.001,772,0.0009,0.113,0.00254,0.189223173,75.9,NA,0.01,3.75,0.765895253,NA
7,LCW23_031,384376,6461686,384375,6461691,distDrain,distDrain,4.72,7.77,0.031,0.04,0.1202,0.6768,0.0485,69.7,0.0016,0.00152,0.0254,101.6935619,0.001871963,0.003378968,113.0655679,0.003986087,0.001,766,NA,0.097,0.00872,0.190056122,78,0,0.02,3.82,0.788475507,NA
7,LCW23_032,384377,6461689,384373,6461689,distDrain,distDrain,4.65,7.81,0.029,0.04,0.1207,0.6718,0.0476,68.2,0.0008,0.00215,0.0196,101.669509,0.001609233,0.002015545,110.5794378,0.003925595,0,773,0.0002,0.091,0.00291,0.191401701,76.9,0,0.02,3.8,0.765256387,NA
